RecordID_Int,ParcelNumber,SaleDate,SaleAmount,BookPage
5539,130054000,2002-06-20T00:00:00.000Z,180000,857:456
5540,130054000,2001-01-26T00:00:00.000Z,0,WB 45:100
5541,130054000,1975-10-31T00:00:00.000Z,39750,369:234
5542,130054000,2001-12-27T00:00:00.000Z,0,834:288
5543,130054100,1992-02-28T00:00:00.000Z,167000,574:864
5544,130054100,1998-06-01T00:00:00.000Z,155000,722:380
5545,130054100,1990-10-19T00:00:00.000Z,150000,0:0
5546,130055000,1999-04-30T00:00:00.000Z,0,752:1
5547,130055000,1993-01-27T00:00:00.000Z,0,596:491
5548,130055000,2014-04-17T00:00:00.000Z,360000,2014:1177
5549,130055000,1993-01-27T00:00:00.000Z,0,0:0
5550,130055100,1987-08-17T00:00:00.000Z,76000,500:352
5551,130055100,1981-12-08T00:00:00.000Z,69500,425:828
5552,130055100,1999-09-17T00:00:00.000Z,125000,765:751
5553,130056000,2010-06-14T00:00:00.000Z,290000,2010:2058
5554,130056000,1978-03-01T00:00:00.000Z,52500,0:0
5555,130056000,2007-01-16T00:00:00.000Z,0,1123:809
5556,130056000,1994-11-07T00:00:00.000Z,0,642:233
5557,130056100,1991-12-26T00:00:00.000Z,145000,0:0
5558,130056100,2002-05-08T00:00:00.000Z,0,851:645
5559,130056100,1999-08-05T00:00:00.000Z,179000,762:483
5560,130056100,1996-08-09T00:00:00.000Z,161500,677:708
5561,130056200,1992-05-29T00:00:00.000Z,149900,580:703
5562,130056200,1998-07-16T00:00:00.000Z,172500,727:143
5563,130056200,1984-11-20T00:00:00.000Z,100500,0:0
5564,130057000,2003-07-03T00:00:00.000Z,435000,918:22
5565,130057000,1978-10-05T00:00:00.000Z,0,396:864
5566,130057000,1988-03-11T00:00:00.000Z,0,WB 31:270
5567,130058000,1982-03-17T00:00:00.000Z,89000,427:473
5568,130059000,2005-10-26T00:00:00.000Z,295000,1053:330
5569,130059000,2004-02-13T00:00:00.000Z,12500,958:560
5570,130059000,1966-05-25T00:00:00.000Z,27500,277:326
5571,130059000,2016-06-15T00:00:00.000Z,625000,2016:2178
5572,130059000,1999-08-04T00:00:00.000Z,0,762:375
5573,130059000,1999-01-15T00:00:00.000Z,0,743:156
5574,130060000,1995-03-01T00:00:00.000Z,44000,648:1
5575,130060000,2009-06-01T00:00:00.000Z,562500,2009:2223
5576,130060000,1993-06-17T00:00:00.000Z,0,0:0
5577,130061000,1988-10-28T00:00:00.000Z,205000,520:270
5578,130061000,2012-09-18T00:00:00.000Z,610000,2012:4223
5579,130061000,1974-05-13T00:00:00.000Z,67500,356:311
5580,130062000,1987-08-06T00:00:00.000Z,181000,500:1
5581,130062000,1992-09-18T00:00:00.000Z,0,588:125
5582,130063000,2013-08-12T00:00:00.000Z,505000,2013:3957
5583,130063000,1992-01-21T00:00:00.000Z,0,572:615
5584,130063000,1988-01-26T00:00:00.000Z,0,506:608
5585,130064000,2002-08-08T00:00:00.000Z,389000,864:120
5586,130064000,1999-08-02T00:00:00.000Z,207000,761:709
5587,130064000,2005-09-30T00:00:00.000Z,487000,1049:438
5588,130065000,1999-12-13T00:00:00.000Z,0,771:365
5589,130065000,2016-11-02T00:00:00.000Z,651400,2016:4234
5590,130065000,1997-04-25T00:00:00.000Z,216000,692:412
5591,130065000,1978-09-05T00:00:00.000Z,90000,0:0
5592,130066000,1986-07-31T00:00:00.000Z,150000,481:52
5593,130066000,1998-11-02T00:00:00.000Z,251900,736:817
5594,130066000,1975-04-17T00:00:00.000Z,75000,0:0
5595,130067000,2003-07-09T00:00:00.000Z,368900,918:847
5596,130067000,1984-12-17T00:00:00.000Z,0,0:0
5597,130067000,1987-07-02T00:00:00.000Z,110000,498:234
5598,130068000,1990-02-21T00:00:00.000Z,165000,539:768
5599,130068000,1988-03-21T00:00:00.000Z,116500,0:0
5600,130068000,2002-07-08T00:00:00.000Z,290000,859:895
5601,130069000,2003-07-25T00:00:00.000Z,0,WB47:173
5602,130069000,1995-04-11T00:00:00.000Z,0,649:781
5603,130069000,2015-09-22T00:00:00.000Z,445000,2015:3544
5604,130069000,2009-03-17T00:00:00.000Z,0,W2009:6243
5605,130069000,1970-06-01T00:00:00.000Z,33500,0:0
5606,130070000,2014-07-03T00:00:00.000Z,491000,2014:2248
5607,130070000,1997-12-05T00:00:00.000Z,158000,708:42
5608,130070000,2006-11-21T00:00:00.000Z,435000,1117:1
5609,130070000,2002-07-08T00:00:00.000Z,265000,859:801
5610,130070000,1989-08-14T00:00:00.000Z,133500,0:0
5611,130071000,2000-06-01T00:00:00.000Z,0,782:256
5612,130071000,1987-07-16T00:00:00.000Z,277300,498:760
5613,130072000,2011-01-04T00:00:00.000Z,525000,2011:63
5614,130072000,2013-09-04T00:00:00.000Z,525000,2013:4363
5615,130072000,2005-09-02T00:00:00.000Z,525000,1046:202
5616,130072000,2016-07-27T00:00:00.000Z,614500,2016:2814
5617,130072100,2013-10-01T00:00:00.000Z,555100,2013:4894
5618,130072100,2004-06-03T00:00:00.000Z,439000,978:429
5619,130072100,2000-03-27T00:00:00.000Z,0,777:706
5620,130072100,1996-10-18T00:00:00.000Z,203500,681:803
5621,130072100,1998-12-01T00:00:00.000Z,0,739:418
5622,130072100,1996-05-23T00:00:00.000Z,0,0:0
5623,130073000,1975-01-07T00:00:00.000Z,0,362:150
5624,130073100,2009-06-01T00:00:00.000Z,0,2009:2182
5625,130073100,2009-06-01T00:00:00.000Z,0,2009:2180
5626,130073100,1984-08-23T00:00:00.000Z,175000,454:538
5627,130073100,2009-06-01T00:00:00.000Z,0,2009:2181
5628,130073100,2016-11-18T00:00:00.000Z,715000,2016:4435
5629,130074000,2009-06-01T00:00:00.000Z,0,2009:2181
5630,130074000,2009-06-01T00:00:00.000Z,0,2009:2180
5631,130074000,1994-07-01T00:00:00.000Z,216000,634:539
5632,130074000,2009-06-01T00:00:00.000Z,0,2009:2182
5633,130074000,2004-09-28T00:00:00.000Z,150000,997:173
5634,130074000,1994-06-05T00:00:00.000Z,0,0:0
5635,130074000,2016-11-16T00:00:00.000Z,190000,2016:4397
5636,130075000,2011-07-14T00:00:00.000Z,0,2011:2468
5637,130075000,1994-07-01T00:00:00.000Z,216000,634:539
5638,130075000,1994-06-05T00:00:00.000Z,0,0:0
5639,130076000,2006-09-14T00:00:00.000Z,0,1108:73
5640,130076000,1972-11-01T00:00:00.000Z,0,0:0
5641,130076000,1994-11-23T00:00:00.000Z,169000,643:170
5642,130077000,2008-11-18T00:00:00.000Z,253000,2008:5495
5643,130077000,1989-10-26T00:00:00.000Z,0,535:527
5644,130077000,2003-10-02T00:00:00.000Z,0,938:749
5645,130077000,1979-07-31T00:00:00.000Z,87000,0:0
5646,130078000,2005-08-08T00:00:00.000Z,809000,1042:206
5647,130078000,1989-05-09T00:00:00.000Z,0,385:408
5648,130078000,1977-06-29T00:00:00.000Z,120000,0:0
5649,130078000,2006-11-22T00:00:00.000Z,935000,1117:344
5650,130078000,2001-11-16T00:00:00.000Z,515000,828:801
5651,130079000,1996-02-06T00:00:00.000Z,0,0:0
5652,130079000,2001-08-31T00:00:00.000Z,350000,821:197
5653,130079000,1999-07-20T00:00:00.000Z,293500,760:456
5654,130079000,1996-06-27T00:00:00.000Z,165000,674:628
5655,130080000,2014-04-23T00:00:00.000Z,0,2014:1236
5656,130080000,1998-08-24T00:00:00.000Z,0,WB 42:202
5657,130080000,1996-10-24T00:00:00.000Z,0,160:430
5658,130080000,1998-12-02T00:00:00.000Z,196500,739:550
5659,130080000,1998-03-17T00:00:00.000Z,0,WB 41:550
5660,130080000,1998-03-17T00:00:00.000Z,0,160:430
5661,16000,1900-01-01T00:00:00.000Z,0,0:0
5662,160001000,2011-09-22T00:00:00.000Z,250000,2011:3378
5663,160001000,1931-07-23T00:00:00.000Z,3250,74:9
5664,160002000,1986-01-17T00:00:00.000Z,100000,473:411
5665,160002000,1976-02-10T00:00:00.000Z,57250,0:0
5666,160002000,2008-10-07T00:00:00.000Z,425000,2008:4957
5667,160003000,1998-05-11T00:00:00.000Z,260000,720:527
5668,160003000,1985-05-03T00:00:00.000Z,58500,462:628
5669,160003000,1962-12-18T00:00:00.000Z,15000,0:0
5670,160004000,1985-03-07T00:00:00.000Z,1591000,460:740
5671,160004000,1997-06-25T00:00:00.000Z,0,696:879
5672,160005000,1985-03-07T00:00:00.000Z,1591000,460:740
5673,160005000,1997-06-20T00:00:00.000Z,0,698:372
5674,160008000,1998-02-17T00:00:00.000Z,0,712:573
5675,160008000,2016-06-01T00:00:00.000Z,475000,2016:1920
5676,160008000,1995-10-19T00:00:00.000Z,134000,661:110
5677,160008000,1986-08-29T00:00:00.000Z,102500,0:0
5678,160009000,2004-04-30T00:00:00.000Z,225000,971:368
5679,160009000,2004-04-30T00:00:00.000Z,0,971:366
5680,160009000,2006-11-20T00:00:00.000Z,325000,1116:884
5681,160009000,1970-01-28T00:00:00.000Z,13500,314:227
5682,16001,1900-01-01T00:00:00.000Z,0,0:0
5683,160010000,1978-12-04T00:00:00.000Z,89500,398:290
5684,160010100,2001-11-30T00:00:00.000Z,0,830:440
5685,160010100,1970-12-23T00:00:00.000Z,13000,0:0
5686,160010100,1998-05-13T00:00:00.000Z,0,720:687
5687,160010100,1998-01-07T00:00:00.000Z,545000,710:229
5688,160010100,1996-08-01T00:00:00.000Z,337500,677:178
5689,160011000,1997-10-30T00:00:00.000Z,415000,706:76
5690,160011000,1999-12-29T00:00:00.000Z,0,772:439
5691,160011000,1997-08-21T00:00:00.000Z,0,0:0
5692,160012000,1994-04-29T00:00:00.000Z,0,629:267
5693,160012000,1981-04-06T00:00:00.000Z,143000,419:45
5694,160013000,1984-11-15T00:00:00.000Z,87000,457:639
5695,160013000,1983-10-31T00:00:00.000Z,0,444:124
5696,160013100,2015-07-21T00:00:00.000Z,175000,2015:2660
5697,160013100,2016-06-14T00:00:00.000Z,0,2016:2158
5698,160013100,1980-07-08T00:00:00.000Z,87000,412:158
5699,160014000,1998-01-14T00:00:00.000Z,113000,710:531
5700,160014000,2005-09-16T00:00:00.000Z,240000,1047:432
5701,160014000,1999-06-03T00:00:00.000Z,132000,755:484
5702,160014000,1986-09-10T00:00:00.000Z,68000,483:294
5703,160014000,1976-09-03T00:00:00.000Z,32000,0:0
5704,160014100,2003-04-07T00:00:00.000Z,0,900:126
5705,160014100,1994-05-16T00:00:00.000Z,0,630:347
5706,160014100,1985-04-03T00:00:00.000Z,100000,0:0
5707,160015000,1998-11-25T00:00:00.000Z,0,739:44
5708,160015000,1982-02-26T00:00:00.000Z,87000,0:0
5709,160015000,1989-06-12T00:00:00.000Z,122500,529:497
5710,160016000,1971-11-19T00:00:00.000Z,62500,331:488
5711,160016000,2014-05-01T00:00:00.000Z,620000,2014:1391
5712,160017000,2012-04-27T00:00:00.000Z,0,W2012:137
5713,160017000,1983-12-06T00:00:00.000Z,0,WB27:205
5714,160017000,1987-08-03T00:00:00.000Z,0,WB30:554
5715,160018000,1993-05-20T00:00:00.000Z,205000,603:79
5716,160018000,1985-01-29T00:00:00.000Z,345000,0:0
5717,160018000,2009-03-24T00:00:00.000Z,550000,2009:1035
5718,160018100,1993-05-20T00:00:00.000Z,205000,603:90
5719,160018100,2009-03-24T00:00:00.000Z,550000,2009:1036
5720,160018100,1985-01-29T00:00:00.000Z,345000,0:0
5721,160019000,1900-01-01T00:00:00.000Z,0,0:0
5722,16002,1900-01-01T00:00:00.000Z,0,0:0
5723,160020000,2006-01-23T00:00:00.000Z,113000,1066:965
5724,160020000,1993-11-22T00:00:00.000Z,148000,617:507
5725,160020000,1987-06-04T00:00:00.000Z,105000,0:0
5726,160021000,1988-09-30T00:00:00.000Z,90000,519:1
5727,160021000,1970-01-06T00:00:00.000Z,14800,314:61
5728,160022000,2009-09-23T00:00:00.000Z,420000,2009:4309
5729,160022000,1957-08-15T00:00:00.000Z,40000,200:430
5730,160022000,2015-12-23T00:00:00.000Z,0,2015:4739
